video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,channel_avg_views,channel_std_views,views_vs_channel_avg,view_zscore
KiBS-dbv_x0,Cardi B Showed Ellen How She Got Pregnant,TheEllenShow,18.23.04,10523399,282075,10352,2.68,1315244.0,1360001.0,8.0,6.77
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,18.08.02,11154250,150451,29640,1.35,1113650.0,1561073.0,10.02,6.43
CMA2iF6RuXk,Fergie's national anthem draws criticism | ESPN,ESPN,18.20.02,2762839,14362,21507,0.52,520464.0,383870.0,5.31,5.84
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,18.07.02,10226518,143105,28220,1.4,1113650.0,1561073.0,9.18,5.84
KiBS-dbv_x0,Cardi B Showed Ellen How She Got Pregnant,TheEllenShow,18.22.04,9225029,251744,9463,2.73,1315244.0,1360001.0,7.01,5.82
VlZ1SWLBfPE,The Truth About Where Hair Extensions Come From | Shady | Refinery29,Refinery29,18.14.06,2756607,139611,7439,5.06,164658.0,452879.0,16.74,5.72
7rOQv_6L9fQ,Why the triple axel is such a big deal,Vox,18.15.02,2494584,35785,2486,1.43,635409.0,328221.0,3.93,5.66
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.17.05,2375055,29334,4080,1.24,484212.0,345221.0,4.9,5.48
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.28.11,13025011,436454,31464,3.35,1485265.0,2145851.0,8.77,5.38
O6BODAJVYc8,"2017, in 7 minutes",Vox,18.03.01,2398601,89696,20315,3.74,635409.0,328221.0,3.77,5.37
VlZ1SWLBfPE,The Truth About Where Hair Extensions Come From | Shady | Refinery29,Refinery29,18.13.06,2556225,133137,7094,5.21,164658.0,452879.0,15.52,5.28
KONe4SNFA64,Rihanna's Epic 10-Minute Guide to Going Out Makeup | Beauty Secrets | Vogue,Vogue,18.14.05,9233435,605954,26319,6.56,1406175.0,1491779.0,6.57,5.25
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.27.11,12667200,429398,31121,3.39,1485265.0,2145851.0,8.53,5.21
Gs26bZTRkdU,8 Survival Myths That Will Definitely Make Things Worse,SciShow,18.14.06,979732,29038,2584,2.96,281492.0,137414.0,3.48,5.08
Gs26bZTRkdU,8 Survival Myths That Will Definitely Make Things Worse,SciShow,18.13.06,974247,28898,2560,2.97,281492.0,137414.0,3.46,5.04
c8W-auqg024,"We Sent Garlic Bread to the Edge of Space, Then Ate It",Tom Scott,18.06.05,7349435,209009,28835,2.84,808414.0,1312569.0,9.09,4.98
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.26.02,2684509,23689,2662,0.88,400025.0,460866.0,6.71,4.96
7bfS6seiLhk,The Kissing Booth | Official Trailer [HD] | Netflix,Netflix,18.14.05,7308023,144410,5790,1.98,962789.0,1284826.0,7.59,4.94
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.26.11,12087480,419216,31446,3.47,1485265.0,2145851.0,8.14,4.94
7iQn-toQp6A,Benjamin Glaze Auditions for American Idol With Nick Jonas' Levels - American Idol 2018 on ABC,American Idol,18.19.03,6535720,16788,5000,0.26,1551314.0,1010309.0,4.21,4.93
SbjnIK6VEjc,Yanny or Laurel: Which do you hear?,CBS This Morning,18.31.05,3225560,11933,8029,0.37,457149.0,562738.0,7.06,4.92
SbjnIK6VEjc,Yanny or Laurel: Which do you hear?,CBS This Morning,18.30.05,3220711,11917,8027,0.37,457149.0,562738.0,7.05,4.91
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.16.05,2170502,27734,3928,1.28,484212.0,345221.0,4.48,4.88
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.25.02,2645867,23474,2650,0.89,400025.0,460866.0,6.61,4.87
3BJU2drrtCM,How a TV Works in Slow Motion - The Slow Mo Guys,The Slow Mo Guys,18.25.01,11188382,481888,19790,4.31,2212597.0,1855636.0,5.06,4.84
