video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,view_zscore,like_zscore,comment_zscore,is_anomaly
KiBS-dbv_x0,Cardi B Showed Ellen How She Got Pregnant,TheEllenShow,18.23.04,10523399,282075,10352,2.68,6.77,6.16,2.64,true
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,18.08.02,11154250,150451,29640,1.35,6.43,6.41,5.09,true
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,18.07.02,10226518,143105,28220,1.4,5.84,6.07,4.81,true
CMA2iF6RuXk,Fergie's national anthem draws criticism | ESPN,ESPN,18.20.02,2762839,14362,21507,0.52,5.84,2.6,9.59,true
KiBS-dbv_x0,Cardi B Showed Ellen How She Got Pregnant,TheEllenShow,18.22.04,9225029,251744,9463,2.73,5.82,5.41,2.36,true
VlZ1SWLBfPE,The Truth About Where Hair Extensions Come From | Shady | Refinery29,Refinery29,18.14.06,2756607,139611,7439,5.06,5.72,5.42,5.39,true
7rOQv_6L9fQ,Why the triple axel is such a big deal,Vox,18.15.02,2494584,35785,2486,1.43,5.66,1.76,-0.13,true
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.17.05,2375055,29334,4080,1.24,5.48,3.31,2.61,true
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.28.11,13025011,436454,31464,3.35,5.38,4.96,5.06,true
O6BODAJVYc8,"2017, in 7 minutes",Vox,18.03.01,2398601,89696,20315,3.74,5.37,6.81,5.32,true
VlZ1SWLBfPE,The Truth About Where Hair Extensions Come From | Shady | Refinery29,Refinery29,18.13.06,2556225,133137,7094,5.21,5.28,5.16,5.12,true
KONe4SNFA64,Rihanna's Epic 10-Minute Guide to Going Out Makeup | Beauty Secrets | Vogue,Vogue,18.14.05,9233435,605954,26319,6.56,5.25,4.46,3.73,true
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.27.11,12667200,429398,31121,3.39,5.21,4.87,5.0,true
Gs26bZTRkdU,8 Survival Myths That Will Definitely Make Things Worse,SciShow,18.14.06,979732,29038,2584,2.96,5.08,4.28,1.73,true
Gs26bZTRkdU,8 Survival Myths That Will Definitely Make Things Worse,SciShow,18.13.06,974247,28898,2560,2.97,5.04,4.25,1.7,true
c8W-auqg024,"We Sent Garlic Bread to the Edge of Space, Then Ate It",Tom Scott,18.06.05,7349435,209009,28835,2.84,4.98,4.63,4.46,true
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.26.02,2684509,23689,2662,0.88,4.96,4.19,3.94,true
7bfS6seiLhk,The Kissing Booth | Official Trailer [HD] | Netflix,Netflix,18.14.05,7308023,144410,5790,1.98,4.94,3.29,1.12,true
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.26.11,12087480,419216,31446,3.47,4.94,4.74,5.06,true
7iQn-toQp6A,Benjamin Glaze Auditions for American Idol With Nick Jonas' Levels - American Idol 2018 on ABC,American Idol,18.19.03,6535720,16788,5000,0.26,4.93,-0.73,2.98,true
SbjnIK6VEjc,Yanny or Laurel: Which do you hear?,CBS This Morning,18.31.05,3225560,11933,8029,0.37,4.92,2.31,2.4,true
SbjnIK6VEjc,Yanny or Laurel: Which do you hear?,CBS This Morning,18.30.05,3220711,11917,8027,0.37,4.91,2.3,2.4,true
HrQNdClwMs4,DIY GIANT McDONALDS HASH BROWN 🍟 - VERSUS,HellthyJunkFood,18.16.05,2170502,27734,3928,1.28,4.88,3.01,2.44,true
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.25.02,2645867,23474,2650,0.89,4.87,4.14,3.91,true
3BJU2drrtCM,How a TV Works in Slow Motion - The Slow Mo Guys,The Slow Mo Guys,18.25.01,11188382,481888,19790,4.31,4.84,5.0,4.23,true
6_-b3U9QDKg,Helping the Police Find a Gun Underwater to Solve a Criminal Case! (Metal Detecting Underwater),DALLMYD,18.14.05,4478472,83646,6091,1.87,4.79,3.98,3.86,true
KiBS-dbv_x0,Cardi B Showed Ellen How She Got Pregnant,TheEllenShow,18.21.04,7804127,225931,8369,2.9,4.77,4.78,2.03,true
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.24.02,2593991,23122,2587,0.89,4.76,4.06,3.8,true
OrnpSe4OChM,Mean Tweets – Avengers Edition,Jimmy Kimmel Live,18.03.05,8751813,215764,15989,2.47,4.7,6.09,2.62,true
2z3EUY1aXdY,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,18.06.02,8313413,123302,28398,1.48,4.61,5.15,4.84,true
