channel_title,total_videos,avg_views,avg_likes,avg_comments,max_views,avg_engagement_rate
YouTube Spotlight,3,43966026.0,1120740.0,360842.0,149376127,3.34
ArianaGrandeVevo,3,36673469.0,1213278.0,99891.0,148689896,4.98
ibighit,9,27948833.0,2490589.0,397718.0,123010920,13.52
CalvinHarrisVEVO,3,24245684.0,417643.0,13690.0,71017021,2.51
jypentertainment,7,23233940.0,701577.0,118367.0,69295519,4.15
Ed Sheeran,5,21963595.0,835728.0,41500.0,55054077,4.49
Disney•Pixar,3,20670380.0,340580.0,35269.0,36152111,1.92
TaylorSwiftVEVO,4,20631748.0,801895.0,68421.0,71560694,5.34
Logan Paul Vlogs,4,20181513.0,1314387.0,619599.0,37539570,7.26
JenniferLopezVEVO,4,18624235.0,323606.0,22283.0,41446137,2.06
Sony Pictures Entertainment,10,16276982.0,342123.0,40154.0,59254638,1.5
Maroon5VEVO,5,15181466.0,684882.0,40024.0,66529577,5.24
EminemVEVO,4,14496822.0,682610.0,71878.0,32730338,5.27
Marvel Entertainment,16,14471992.0,446987.0,51628.0,91933007,3.41
Dude Perfect,12,14275459.0,460119.0,30604.0,29090799,3.25
GEazyMusicVEVO,4,13415771.0,352553.0,20613.0,45938392,4.1
Diplo,4,12969592.0,369483.0,18029.0,40087764,3.58
SelenaGomezVEVO,3,11824618.0,621031.0,35316.0,35181079,6.9
5-Minute Crafts,3,11345086.0,87287.0,6920.0,54155921,0.84
Paramount Pictures,7,10111163.0,114694.0,13081.0,19864779,1.08
CamilaCabelloVEVO,6,9816597.0,460171.0,31643.0,27784769,6.06
SamSmithWorldVEVO,3,9229123.0,233519.0,9011.0,20934803,3.64
Universal Pictures,14,8336862.0,117752.0,12754.0,38070298,1.25
The Action Lab,4,8288574.0,86479.0,8549.0,18726265,1.63
How Ridiculous,6,8160874.0,170121.0,40767.0,25235767,2.86
20th Century Fox,17,8021279.0,180885.0,11179.0,24152049,2.13
ChainsmokersVEVO,5,7912008.0,269365.0,12929.0,16219716,4.58
ShawnMendesVEVO,5,7633282.0,438881.0,25207.0,32079687,7.55
PinkVEVO,3,7438764.0,234300.0,15220.0,21545253,4.52
DemiLovatoVEVO,3,7431189.0,413278.0,24676.0,28860037,6.49
